Model,Category
"LG Super-Multi DVD Rewriter",Misc.
"Lenovo Performance Backpack",Misc.
"Lenovo Kensington MicroSaver Security Cable Lock",Misc.
"Lenovo Essential Wireless Combo Keyboard & Mouse",Misc.
"Lenovo Laser Wireless Mouse",Misc.
"Lenovo ThinkPad AC Adapter",Misc.
"Kensington International Travel Adapter",Misc.
"Acer V226HQL Monitor",Computers
"Lenovo Thinkpad Li-ion Battery 68 (3-cell)",Misc.
"Lenovo ThinkPad 6-cell Battery",Misc.
"Lenovo 57+ ThinkPad Battery",Misc.
"Lenovo ThinkPad Pro Dock - 90 W",Misc.
"Lenovo ThinkPad Ultra Dock",Misc.
"Lenovo ThinkPad 3.0 Pro Dock",Misc.
"Cisco SG300-28 Layer 3 Switch",Networking
"Cisco SG300-52 Layer 3 Switch",Networking
"APC Smart-UPS 1500VA LCD RM 120V UPS",Misc.
"APC Smart-UPS 3000VA LCD RM 120V UPS",Misc.
"APC Smart-UPS 3000VA LCD RM 2U 230V",Misc.
"Belkin 24 Port Cat6 Patch Panel",Networking
"APC Office 120V SurgeArrest",Misc.
"Cyberoam CR25iNG Unified Threat Management Appliance",Networking
"Cyberoam CR25iNG 3 Year Total Value Subscription Plus",Software
"Cyberoam CR35iNG Unified Threat Management Appliance",Networking
"Cyberoam Total Value Subscription Plus (35)",Software
"Cyberoam CR50iNG Unified Threat Management Appliance",Networking
"Cyberoam CR50iNG 3 Years Total Value Subscription Plus",Software
"Cyberoam CR100iNG Unified Threat Management Appliance",Networking
"Cyberoam Total Value Subscription Plus (100)",Software
"Cyberoam CR200iNG Appliance",Networking
"Cyberoam Total Value Subscription Plus (200)",Software
"Ubiquiti UniFi AC Pro Access Point",Networking
"Ubiquiti NanoStationM",Networking
"Plantronics SupraPlus HW261N Headset",Misc.
"Plantronics Headset Adapter Cable",Misc.
"Griffin Survivor Extreme-Duty",Misc.
"Microsoft Office Pro Plus 2016",Software
"Cisco SF300-48PP Switch",Networking
"Adobe Photoshop Elements 2018",Software
"Jabra UC Voice 150 Duo Headset",Misc.
"Logitech H540 USB Headset",Misc.
"Logitech H800 Wireless Headset",Misc.
"ClearOne Chat 150 Speaker Phone","Video Conferencing"
"Clearone Chat 160 Conference Phone",Misc.
"Kingston DataTraveler G4 32GB USB 3.0 Flash Drive",Misc.
"Lenovo Mini-DisplayPort to VGA Adapter",Misc.
"Lenovo Mini DisplayPort to DVI Adapter ",Misc.
"ClearOne CHAT 50 USB Speaker Phone",Misc.
"ClearOne Chat 60 ",Misc.
"Lenovo ThinkPad Battery 70+ (6 cell) ",Misc.
"Canon VIXIA HF R500 Full HD Camcorder",Misc.
"Audio-Technica ATR3350iS Omnidirectional Condenser Lavalier Microphone for Smartphones	",Misc.
"Tripp Lite Mini Stereo Audio Extension Cable	",Misc.
"Magnus VT-200 Tripod System with 2-Way Pan Head",Misc.
"Kodak A241 40-in-1 Memory Card Reader	",Misc.
"ASUS P2B Battery-Powered Portable LED Projector	",Misc.
"SurveyMonkey Gold Subscription License",Software
"Logitech H390 USB Wired Headset with Microphone",Misc.
"Transcend 32GB SDHC Memory Card Premium Class 10 UHS-I B	",Misc.
"Transcend 32GB microSDHC Memory Card Premium 300x Class 10 UHS-I with microSD Adapter	",Misc.
"Microsoft Windows Server Standard 2016",Software
"Plantronics S11 Headset",Misc.
"HP Glossy Roll Paper, Part No: Q1427A",Printing
"HP 72 Photo Black Ink Cartridge",Non-Standard
"Nuance Dragon NaturallySpeaking v.13.0 Home ",Software
"Lenovo ThinkPad 65W AC Adapter",Misc.
"Boxlight CLK-C3-CS-120",Misc.
"Boxlight / C3 Support, Bronze Service, 1 Year",Software
"SnagIt (Volume Discount Applied)",Software
"SnagIt Maintenance (Volume Discount Applied)",Software
"Ergotron LX Desk Mount Arm",Misc.
"Think-Cell License",Software
"SIIG USB 3.0 to VGA Slim Adapter ",Misc.
"AppleCare Warranty",Software
"Tripp Lite Patch Cable ",Networking
"Tripp Lite Power It! Power Strip ",Misc.
" Techflex Split Sleeving",Misc.
"HP LaserJet M605x Laser Printer (220 V) ",Printing
"Dell 4320 Projector ",Misc.
"Cat5e Molded RJ45 Network Patch Cable ",Networking
"JVC Stereo Headphones - Black",Misc.
"Cat5e Patch Cable RJ-45 to RJ-45, 3ft",Networking
"NVivo Server Package",Software
"Autodesk AutoCAD LT 2018",Software
"NVivo Pro 24 Months Subscription",Software
"NVivo Software Maintenance - 36 Month Subscription",Software
"Microsoft Windows Server Standard 2016 CAL",Software
"IntelliTone Pro 200 LAN Toner and Probe",Printing
"World Tools Pro",Software
"Microsoft Visio Pro 2016 Software",Software
"Lenovo ThinkPad Battery 35+ (6 Cell)",Misc.
"Logitech H600 Wireless Headset",Misc.
"Axiom Ax - DDR3L - 8 GB - So-DIMM 204-pin ",Misc.
"NVIVO Server Client Access License (CAL) ",Software
"Logitech Marathon Mouse M705 ",Misc.
"AAXA M4 Mobile LED Projector ",Misc.
"BRAVEN BRV-X Wireless Bluetooth Speaker [Waterproof] - Black",Misc.
"TechSmith SnagIt Software License",Software
"Dell K/VK/ADV 1x00S,ADD 1 Mngd Comp,APOS",Software
"Remote Implementation of a Dell KACE Appliance (934-0029)",Misc.
"Lenovo - 8GB DDR3L PC3-12800 SODIMM Memory Module ",Misc.
"Dell 8GB DDR3 SDRAM Memory Module",Misc.
"HP 64A Black Toner Cartridge",Printing
"HP Q1339A Black",Printing
"HP 80A Black Toner Cartridge",Printing
"HP 05A Black Toner Cartridge",Printing
"HP 507A Black Toner Cartridge",Printing
"HP 507A Cyan Toner Cartridge",Printing
"HP 507A Yellow Toner Cartridge",Printing
"HP 507A Magenta Toner Cartridge",Printing
"HP 42A Black Toner Cartridge",Printing
"HP 304A Black Toner Cartridge",Printing
"HP 304A Cyan Toner Cartridge",Printing
"HP 304A Yellow Toner Cartridge",Printing
"HP 304A Magenta Toner Cartridge",Printing
"HP 55A Black Toner Cartridge",Printing
"AAXA Technologies P4X Pico Projector",Misc.
"Cat5e 350MHz 6ft Molded Patch Cable - (RJ45 M/M)",Networking
"Ergotron WorkFit Notebook Stand",Misc.
"Microsoft Windows 10 Professional License",Software
"Samsung Internal Solid State Drive",Misc.
"Targus Drifter II Backpack",Misc.
"Tripp Lite 4-Port USB 3.0 SuperSpeed Hub",Networking
"HP CF380A Black",Printing
"HP CF381A Cyan",Printing
"HP CF382A Yellow",Printing
"HP CF383A Magenta",Printing
"Belkin RJ-11 Phone Cable",Misc.
"Belkin Cat6 RJ-45 Cable",Misc.
"Microsoft SQL Server Enterprise Core 2014",Software
"Microsoft Windows Server DataCenter 2012 R2",Software
"HP 64X Black High Yield Toner Cartridge",Printing
"HP CF280X Black",Printing
"HP 501A Black Toner Cartridge",Printing
"HP 502A Cyan Toner Cartridge",Printing
"HP 502A Yellow Toner Cartridge",Printing
"HP 502A Magenta Toner Cartridge",Printing
"Microsoft LifeChat LX-6000",Misc.
"Microsoft Visual Basic Studio Pro 2015",Software
"Microsoft Project Standard 2016 Software",Software
"Microsoft Sharepoint Server 2013 Workspace",Software
"Sony VPL-EX100 Original Lamp",Misc.
"Dell 4320 Replacement Lamp",Misc.
"IOGear USB Bluetooth 4.0 Dongle",Misc.
"AccuPower IQ-328 Charger",Misc.
"Transcend 16GB microSDHC Memory Card Premium 300x Class 10 UHS-I with microSD Adapter",Misc.
"ASUS S1 LED Pocket Projector",Misc.
"Navicat for PostgreSQL v11 WIN STANDARD ESD 1 User License",Software
"Jabra SPEAK 410 MS Conference Phone",Misc.
"Lenovo 4GB DDR3 SDRAM Memory Module",Misc.
"Lenovo 4GB Memory Module",Misc.
"Acer G276HL Monitor",Computers
"Apple Pencil for iPad Pro",Misc.
"Apple Keyboard Cover Case",Misc.
"HP 305A Black Toner Cartridge",Printing
"HP CE411A Cyan",Printing
"HP 305A Magenta Toner Cartridge",Printing
"HP CE412A Yellow",Printing
"Konftel 250 Conference Phone",Misc.
"Lenovo Thinkpad 44++ 9-Cell Battery",Misc.
"Drum Block for Canon IR2520 Copier",Misc.
"SanDisk 8 GB microSD Card Class 4",Misc.
"Atlas.ti software",Software
"Tripp Lite USB 2.0 to VGA Adapter",Misc.
"SanDisk Extreme Pro Memory Card",Misc.
"Panasonic Lithium-Ion Camcorder Battery Pack (3.6V, 1940mAh)",Misc.
"Velbon DV-7000N Video Tripod with Fluid Head",Misc.
"Rode VideoMic Pro Compact VMP Shotgun Microphone ",Misc.
"Rode Reporter Omnidirectional Handheld Interview Microphone ",Misc.
"Hosa Technology XVM-102F Angled 3.5mm to 3-Pin XLR Female Microphone Cable (2') ",Misc.
"Lowepro Photo Hatchback 22L AW Backpack ",Misc.
"Stagg 20ft. Standard Mic Cable - XLR / XLR ",Misc.
"Sony MDR-V150 Monitor Series Headphones ",Misc.
"Samsung S24E200BL Monitor",Computers
"Epson VS240 Projector",Misc.
"LG 29UB55-B UltraWide Monitor",Computers
"Lenovo ThinkPad 135W AC Adapter",Misc.
"Plantronics Audio 478 USB Headset",Misc.
"QVS Premium World Travel Power Adaptor",Misc.
"Serif Photoplus X8",Software
"Microsoft Publisher",Software
"Cisco Meraki MR18 PoE Access Point",Misc.
"Cisco Meraki MR Enterprise License",Misc.
"20FT SVGA / VGA MONITOR GOLD CABLE RGB COAX HD15 MALE / MALE",Misc.
"Samsung DC40E Display","Video Conferencing"
"Lenovo ThinkCentre M710q Tiny Desktop","Video Conferencing"
" Wide Body Flat Panel TV Cart with Cabinet (Black) ","Video Conferencing"
"Scooter Beyond Compare 4 Multi Platform, Pro Edition",Software
"Stata/SE 15 ",Software
"Polycom SoundStation2 Conference Phone","Video Conferencing"
"StarTech Cable","Video Conferencing"
"HP OfficeJet 250 Mobile All-in-One Printer",Printing
"Apple Multiport Adapter",Misc.
"Belkin Adapter",Misc.
"Espon ELPLP88 Replacement Lamp",Non-Standard
"Tablet Case",Misc.
"ClearOne USB to mini USB Cable for CHAT 50 Speakerphone",Misc.
"1099 Pro Professional Software ",Software
"Sketch Software",Software
"DigiCert Certification ",Software
"HP 90A Black Toner Cartridge",Printing
"Nvivo 11 Pro Full License",Software
"Nvivo 11 Online Course (Fundamentals course)",Software
"Plantronics Blackwire C520-M Headset",Misc.
"LG Monitor",Computers
"Samsung Galaxy Tab E Tablet",Computers
"Logitech C170 Webcam",Misc.
"Cyberoam CR 35iNG Total Value Subscription (For 1 Year)",Software
"Cyberoam CR50iNG 1 Year Total Value Subscription",Software
"Cyberoam CR100iNG 1 Year Total Value Subscription",Software
" SolarWinds Network Performance Monitor ( v. 8 ) - license",Software
" SolarWinds NetFlow Traffic Analyzer Module for SolarWinds SL500 - license",Software
" Apple USB Ethernet Adapter - network adapter",Misc.
"Apple Thunderbolt to Gigabit Ethernet Adapter",Misc.
"HP LaserJet Enterprise M506dn Printer",Printing
"HP M604dn B/W Printer",Printing
"HP LaserJet Enterprise M605dn Printer",Printing
"HP LaserJet Pro M477fdn Mutlifunction Printer",Printing
"Fellowes Powershred ",Misc.
"Camtasia Studio & Snagit Bundle",Software
"HP LaserJet Pro MFP M426fdn",Networking
"Autodesk AutoCAD 2018 Software",Software
"Microsoft Office 2016 for Mac ",Software
"Lenovo X230 tablet 6 cell battery ",Misc.
" MOCREO® Two USB Ports Universal World Wide All-in-one Safety Travel Charger ",Misc.
"SPSS STATISTICS PROFESSIONAL ",Software
"Apple 60W MagSafe 2 Power Adapter",Misc.
"Dell PowerEdge R330 Server ",Networking
"Apple AppleCare Protection Plan",Software
"StarTech.com Compact HDMI to VGA Adapter Converter",Misc.
"Apple MagSafe Adapter",Misc.
"HP 952 Black Ink Cartridge",Printing
"HP 952XL High Yield Black Cartridge",Printing
"Apple iMac 27-inch with Retina 5K display",Non-Standard
"USB 2.0 A to Mini B 5 pin Cable 25ft",Misc.
"Lenovo ThinkPad UltraSlim USB DVD Burner",Misc.
"Polycom SoundStation2 Conference Phone ",Misc.
"HP Universal 42x100 Semi Gloss Photo Paper",Non-Standard
"HP Universal Instant-Dry Semi-Gloss Photo Paper",Non-Standard
"HP Universal Instant-Dry Gloss Photo Paper",Non-Standard
"HP 72 Cyan Ink Cartridge",Non-Standard
"HP 72 Magenta Ink Cartridge",Non-Standard
"HP 72 Yellow Ink Cartridge",Non-Standard
"HP 72 Gray Ink Cartridge",Non-Standard
"HP 72 Matte Black Ink Cartridge",Non-Standard
"HP 72 Gray, Photo Black Printhead",Non-Standard
"HP 72 Matte Black, Yellow Printhead",Non-Standard
"HP 72 Magenta, Cyan Printhead",Non-Standard
"HP 307A Magenta Toner Cartridge",Non-Standard
"HP 307A Yellow Toner Cartridge",Non-Standard
"HP 307A Cyan Toner Cartridge",Non-Standard
"Samsung Galaxy Tab A Tablet",Computers
"Epson WorkForce DS-520 Sheetfed Scanner",Printing
"Lenovo Docking Station (P50 compatible only)",Misc.
"APC Smart-UPS 3000VA LCD Tower 120V UPS ",Misc.
"Apple iMac 27-inch: 3.3GHz Retina 5K display quad-core Intel Core i5 ",Non-Standard
"Apple iPad Mini 4",Misc.
"Lenovo Mini-DisplayPort to VGA Adapter",Misc.
"Draper Consul Portable Projection Screen - 60",Misc.
"Lenovo 16GB Memory Module",Misc.
"Canon PowerShot SX530 Digital Camera",Misc.
"Tripp Lite SmartRack SR12UB Enclosure Rack Cabinet ",Misc.
"Tripp Lite 24U Rack Enclosure Server Cabinet",Misc.
"Movavi Video Editor 10 ",Software
"Professional Stereoscopic Condenser Sound Microphone With Stand",Misc.
"HP LaserJet 500-Sheet Input Tray Feeder",Printing
"Apple iMac 27-inch: 3.2GHz Retina 5K display quad-core Intel Core i5",Non-Standard
"Best-Rite 48 x 96 x 1/8 Inches, Visionary Magnetic Glass Whiteboard",Misc.
"TP-LINK PoE Injector",Misc.
"StarTech Extension Cable",Misc.
"Case Logic Backpack Carrying Case",Misc.
"Microsoft Surface Pro 4 Type Cover",Misc.
"Sony FDR-AX53E 4K Ultra HD Handycam Camcorder (PAL)",Misc.
"Sony NP-FV70 Rechargeable Battery Pack",Misc.
" HP LaserJet Enterprise M604n Monochrome Laser Printer ",Printing
"GoToAssist ",Software
"HP LaserJet Pro M130fw Multifunction Printer",Printing
"Ubiquiti POE-24-12W-G Power over Ethernet Injector ",Non-Standard
"HP Scanjet Pro 4500 fn1 Network Scanner",Non-Standard
"Corsair Voyager Flash Drive",Misc.
"Kensington FP215 Privacy Screen for 21.5"" Monitors",Misc.
"Microsoft SQL Server 2016 Standard License",Software
"Microsoft Visual Studio Enterprise with MSDN",Software
"Asus VN279Q Monitor",Computers
"HP 410A Black Toner Cartridge",Printing
"Camtasia Studio 9 Upgrade ",Software
"V7 Replacement Battery for the Lenovo X201",Misc.
"Sketch Software",Software
"Lenovo ThinkPad Essential Topload Case",Misc.
"C2G Cat6 Network Patch Cable",Networking
"C2G Cat6 Network Patch Cable",Networking
"C2G Cat6 Network Patch Cable",Networking
"9 Ft – Green – CAT6 ",Networking
"C2G Cat6 Network Patch Cable",Networking
"C2G Cat6 Cable",Networking
"C2G Cat6 Network Patch Cable",Networking
"6 Ft – Red – CAT6 ",Networking
"6 Ft – Green – CAT6 ",Networking
"6 Ft – Yellow – CAT6 ",Networking
"3 Ft – Blue – CAT6 ",Networking
"3 Ft – Red – CAT6 ",Networking
"3 Ft – Green – CAT6 ",Networking
"3 Ft – Yellow – CAT6 ",Networking
"HP LaserJet P2035 Printer",Non-Standard
"Ergotron LX Dual Side-by-Side Arm - mounting kit",Misc.
"Ubiquiti Networks UniFi LITE Wireless Access Point",Networking
"ITPRO.TV Premium Annual Subscription",Software
"Lenovo 8GB DDR4 2133Mhz SoDIMM Memory",Misc.
"TechSmith Camtasia v.9 User License",Software
"Logitech GROUP Video Conferencing System w/ Expansion Mics","Video Conferencing"
"Cisco Aironet 3702I IEEE 802.11ac 1.30 Gbit/s Wireless Access Point",Non-Standard
"Cisco 5500 Series Wireless Controller Additive Capacity License - 5 Access Point",Non-Standard
"Cisco Aironet Converter Clip For Channel Grid Suspended Ceilings",Non-Standard
"T-Rail Channel Adapter",Non-Standard
"Lenovo Thinkpad 65W Slim Tip AC Adapter",Non-Standard
"HP LaserJet Enterprise MFP M725z (CF068A)",Non-Standard
"Belkin WaveRest Series Gel Mouse Pad - Black",Non-Standard
"ThinkCentre Tiny 65W AC Adapter (slim tip) for M700 Tiny",Non-Standard
"Apple MacBook Pro Notebook",Non-Standard
"Apple 27"" iMac with Retina 5K Display ",Non-Standard
"IRC Lenovo Thinkpad X270 Notebook Bundle",Computers
"IRC Lenovo Thinkpad L470 Notebook Bundle",Computers
"IRC Lenovo ThinkCentre M710q Tiny Bundle",Computers
"MacBook Adapters Bundle",Computers
"6ft Computer/Monitor Power Cord Cable",Misc.
"Tablet Case",Misc.
"Polycom SoundStation2W Conference Phone",Non-Standard
"HP LaserJet Pro M130fw Multifunction Printer",Non-Standard
"Polycom SoundStation 2W EX Conference Phone",Non-Standard
"HP DesignJet T7200 Printer",Printing
"Polycom SoundStation2 Conference phone","Video Conferencing"
"Epson PowerLite 1785W Projector",Misc.
"Epson Preferred Plus 2 Year Extended Service Plan",Misc.
"Apple 9.7"" iPad (Wifi Only) 32GB (Silver)",Misc.
"Lenovo ThinkPad P51s Mobile Workstation",Non-Standard
"Apple MacBook Pro 13-inch with Touch Bar - Space Gray",Non-Standard
"Logitech MK520 Wireless Keyboard and Mouse",Non-Standard
"Apple MagSafe Adapter",Misc.
"Samsung S27E450D 27"" LCD Monitor",Non-Standard
"Apple Applecare Protection Plan",Software
"ZAGG Rugged Messenger Keyboard Case",Non-Standard
"KACE K1000 Management Appliance Software",Software
"KACE K2000 Deployment Appliance Software",Software
"Epson Projector Carry Case",Non-Standard
"StarTech Cable",Non-Standard
"Sennheiser MB Pro 2 Headset",Misc.
"HP LaserJet Enterprise M608dn Printer",Printing
"Cisco Meraki MR33 Wireless Access Point",Networking
"C2G Telephone Cable",Non-Standard
"Apple iMac All-In-One Desktop",Non-Standard
"Adobe Creative Cloud Suite CC Prorated License",Software
"Adobe Acrobat Pro V17 Standalone Perpetual License",Software
"Adobe Dreamweaver CC Prorated License",Software
"Adobe Illustrator CC Prorated License",Software
"Adobe InDesign CC Prorated License",Software
"Adobe Photoshop CC Prorated License",Software
"AppleCare Plus",Software
"Apple Magic Keyboard",Misc.
"Apple Magic Mouse 2",Misc.
"Apple MacBook Pro Notebook",Non-Standard
"Buffalo TeraStation 4TB 3410RN NAS Server",Networking
"Lenovo Thinkpad X270 Notebook",Computers
"HP 761 Black Ink Cartridge",Non-Standard
"HP 761 Yellow Ink Cartridge",Non-Standard
"HP 761 Magenta Ink Cartridge",Non-Standard
"HP 761 Cyan Ink Cartridge",Non-Standard
"HP 761 Gray Ink Cartridge",Non-Standard
"HP 761 Dark Gray Ink Cartridge",Non-Standard
"HP 761 - YELLOW - PRINTHEAD",Non-Standard
"HP 761 - Cyan, Magenta - Printhead",Non-Standard
"HP 761 - Gray, Dark Gray - Printhead",Non-Standard
"HP 761 - Matte Black - Printhead",Non-Standard
"IRC Lenovo Thinkpad L470 Notebook Bundle",Non-Standard
"Adobe Audition CC Prorated License",Software
"Lenovo ThinkPad X260 Backlit US Keyboard ",Non-Standard
"Tripp Lite Surge Protector",Misc.
"Cisco SG300-52P Gigabit Managed PoE+ Switch",Networking
"Conference Room IT Accessories",Misc.
