Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice
VSAT 1.2 Meter Ku Band Kit,VSATCTO12MKU,"Includes: 
1.2m Type 183 Class III Ku Band Transmit/Receive Antenna 
with Linear Polarised Cross Pol Feed and Az/EI Mount  
(Intelsat/Eutelsat Compliant) 
Transmit Frequency: 13.75-14.50GHz 
Receive Frequency: 10.70-12.75GHz 
Includes 30 dB Cross Pol OMT and TRF 
NPRM for 1.2m Antenna (Single Tray) 
Evolution X3 Remote Indoor Unit 
3W Universal Ku-Band Block Up Converter 
RF Output Frequency: 13.75-14.5GHz 
Local Oscillator Frequency: 12.80GHz 
IF Frequency 950 to 1,700MHz 
Output Interface: WR75 Waveguide with Groove 
Output Power 3W (+34.5 dBm Min.) 
Input Connector: F-Type 
Universal Ku-Band 2LO PLL LNB 
RF Frequency: 10.70-11.70GHz/11.70-12.75GHz 
Local Frequency: 9.75GHz/10.60GHz 
Local Stability +/- 10 ppm 
22KHz Tone Switch 
IF Connector: F-type 
30m Pre Terminated Tx/Rx Shotgun Cable with F Type  
Connectors (75 Ohm)",Other,,Networking and Communications,2311
VSAT 1.8 Meter C Band Kit - Linear,VSATCTO18MCLIN,"Includes: 
1.8M Type 183 Class III C Band Transmit/Receive Antenna 
with Linear Polarised Cross Pol Feed (with WR-137 Interface) 
and Az/EI Mount 
Transmit Frequency: 5.850-6.725GHz 
Receive Frequency: 3.400-4.200GHz 
Includes 30 dB Cross Pol OMT and TRF 
NPRM for 1.8m Antenna (Single Tray) 
Evolution X3 Remote Indoor Unit 
3W C-Band Block Up Converter 
RF Output Frequency: 5.85-6.725GHz 
Local Oscillator Frequency: 4.90GHz 
Output Interface: CPR137 Waveguide Flange with Groove 
Input Connector: F-Type 
C-Band PLL LNB 
RF Frequency: 3.4-4.2GHz 
Local Frequency: 5.15GHz 
Local Stability +/- 10 ppm 
IF Connector: F-type 
30m Pre Terminated Tx/Rx Shotgun Cable with F Type 
Connectors (75 Ohm)",Other,,Networking and Communications,4065
VSAT 1.8 Meter C Band Kit - Circular,VSATCTO18MCC,"Includes: 
1.8M Type 183 Class III C Band Transmit/Receive Antenna 
with Linear Polarised Cross Pol Feed (with WR-137 Interface) 
and Az/EI Mount (intelsat Compliant) 
Transmit Frequency: 5.850-6.425GHz 
Receive Frequency: 3.625-4.200GHz 
Includes OMT and TRF 
NPRM for 1.8m Antenna (Single Tray) 
Evolution X3 Remote Indoor Unit 
3W C-Band Block Up Converter 
RF Output Frequency: 5.85-6.425GHz 
Local Oscillator Frequency: 4.90GHz 
Output Interface: CPR137 Waveguide Flange with Groove 
Input Connector: F-Type 
C-Band PLL LNB 
RF Frequency: 3.4-4.2GHz 
Local Frequency: 5.15GHz 
Local Stability +/- 10 ppm 
IF Connector: F-type 
30m Pre Terminated Tx/Rx Shotgun Cable with F Type 
Connectors (75 Ohm)",Other,,Networking and Communications,4432
HP LaserJet M607dn Monochrome Laser Printer,K0Q15A,"Print Resolution: 1200 x 1200 dpi 
Maximum Print Size: 8.5 x 14"" 
Minimum Print Size: 3 x 5"" 
Print Speed: 55 ppm 
First Print Out Time: 5.3 Seconds 
Automatic Duplexing; Mobile Printing 
2.7"" LCD with Keypad; Easy-Access USB 
100-Sheet MP Tray; 550-Sheet Feeder 
Monthly Duty Cycle: 250,000 Pages 
USB 2.0 and Ethernet Connectivity",HPI,,Printers and Toners,575
HP 37X High Yield Black Original LaserJet Toner Cartridge,CF237X,25.000 Pages,HPI,,Printers and Toners,253
HP Color LaserJet M577dn MFP,B5L46A,"Print / Copy / Scan  
Print 40ppm Mono / Color, 1200 x 1200 dpi, Automatic Duplexing 
Input Capacity: 650 Sheets Standard 
1x 100-Sheet Multipurpose Tray, 1x 550-Sheet Input Tray, 1x 100-Sheet ADF 
Output Capacity: 250 Sheets 
Monthly Duty Cycle: up to 80,000 Pages 
Flatbed, ADF Scan (Two-Sided, Single-Pass) 
Scan Speed 45ppm, Scan Resolution 600 x 600 dpi 
Copy Speed 40 ppm. 600 x 600 dpi 
Connectivity: 2x Hi-Speed USB 2.0 Host, 1x Hi-Speed USB 2.0 Device, 
Gigabit Ethernet 10/100/1000 LAN, 1x Host Integration Pocket (HIP) 
1.25GB Printer / 500MB Scanner Standard RAM 
Introductory Print Cartridge Set, Toner Collection Unit Included 
1 Year Warranty",HPI,,Printers and Toners,1616
HP 508X High Yield Black Original LaserJet Toner Cartridge,CF360X,"CF360X 
12,500 Page Yield",HPI,,Printers and Toners,136
HP 508X High Yield Cyan Original LaserJet Toner Cartridge,CF361X,"CF361X 
9,500 Page Yield",HPI,,Printers and Toners,198
HP 508X High Yield Yellow Original LaserJet Toner Cartridge,CF362X,"CF362X 
9,500 Page Yield",HPI,,Printers and Toners,198
HP 508X High Yield Magenta Original LaserJet Toner Cartridge,CF363X,"CF363X 
9,500 Page Yield",HPI,,Printers and Toners,198
Apple iPhone 6S 32GB Unlocked Smartphone,MN1E2LL/A,"Unlocked 
LTE/Bluetooth/WiFi 
Operating System: Apple iOS 10 
Memory: 32GB 
Screen: 4.7"" Retina Display 
TouchScreen 
Built-In GPS 
Color: Space Gray",Apple,,"Smartphones, Tablets and Accessories",499
"Apple iPad 32GB WiFi Only 9.7""",MP2F2LL/A,"9.7"" - 32GB - Space Gray 
Apple A9 Dual-core (2 Core)  
iOS 10  
2048 x 1536 - Retina Display, In-plane Switching (IPS) Technology 
Wireless LAN - Bluetooth 
Imagination Technologies PowerVR Series 7XT GT7600 Graphics",Apple,,"Smartphones, Tablets and Accessories",343
"Apple iPad Pro 64GB WiFi Only 10.5""",MQDT2LL/A,"10.5"" Multi-Touch Retina Display 
2224 x 1668 Screen Resolution (264 ppi) 
Apple A10X SoC with M10 Coprocessor 
64GB
802.11ac Wi-Fi, Bluetooth 4.2 
Front 7MP FaceTime HD Camera 
Rear 12MP Camera 
Four-Speaker Audio Design 
Night Shift, True Tone Display 
Lightning Connector, Smart Connector 
iOS 10",Apple,,"Smartphones, Tablets and Accessories",663
"Apple Smart Cover Case for 9.7"" iPad",MQ4L2ZM/A,MQ4L2ZM/A,Apple,,"Smartphones, Tablets and Accessories",34
"Apple Smart Cover Case for 10.5"" iPad Pro",MPUD2ZM/A,MPUD2ZM/A,Apple,,"Smartphones, Tablets and Accessories",61
Apple 12W USB Power Adapter,MD836LL/A,MD836LL/A,Apple,,"Smartphones, Tablets and Accessories",17
Apple World Travel Adapter Kit,MD837LL/A,MD837LL/A,Apple,,"Smartphones, Tablets and Accessories",27
"Samsung Galaxy Tab E WiFi Only 9.6"" Tablet",SM-T560NZKUXAR,"9.6"" TFT Touchscreen Display 
800 x 1280 Native Resolution 
1.2 GHz Quad-Core Processor 
1.5GB of RAM & 16GB of Onboard Storage 
MicroSD Expansion Slot 
802.11a/b/g/n Wi-Fi, Bluetooth 4.1 
2MP Front and 5MP Rear Cameras 
5000mAh Battery 
Android 5.1 Lollipop",Other,,"Smartphones, Tablets and Accessories",202
Carry Case for Samsung Galaxy Tab E Tablet,GenCarryCaseTablet,GenCarryCaseTablet,Other,,"Smartphones, Tablets and Accessories",19
Power Adapter for Samsung Galaxy Tab E Tablet,GENPOWERADAPTERTABLE,,Other,,"Smartphones, Tablets and Accessories",13
Samsung Galaxy S8 64GB Unlocked Smartphone,SM-G950U,"Unlocked 
5.8"" Quad HD+ Super AMOLED (2960x1440) 570 ppi
4GB RAM, 64GB 
LTE Cat.16, WiFi 802.11abcnac, BT v5.0
Android 7.0 (Nougat)
Includes USB Cable, Earphone, Ejection Pin, USB Power Adaptor,
USB Type-C Connector, Micro USB Connector",Other,,"Smartphones, Tablets and Accessories",732
WD My Cloud PR4100 Network Attached Storage,WDBNFA0080BK-NESN,"WDBNFA0080BK-NESN
8TB NAS
Media Server with Hardware Transcoding
Intel Pentium N3710 Quad-Core 1.6Ghz, 4 GB RAM
3x USB 3.0 Expansion Ports, One-Touch USB Import Button (Front).
2x Gigabit Ethernet, 2x Power Supply (DC In), 4x Media Bays

Alternatives:
16TB NAS, WDBNFA0160BK-NESN, $1,183
24TB NAS, WDBNFA0240BK-NESN, $1,506
32TB NAS, WDBNFA0320BK-NESN, $1,774
40TB NAS, WDBNFA0400BK-NESN, $2,365",Other,,System Accessories,861
Lenovo ThinkPad Thunderbolt 3 Dock for ThinkPad X1 Carbon 5th Gen or T470s,40AC0135EU,"For ThinkPad X1 Carbon 5th Gen and T470s
5x USB 3.0, 1x USB-C, 1x Thunderbolt 3,  
1x RJ45, 1x HDMI, 1x VGA, 2x DisplayPort,  
1x 3.5mm Audio Jack, 1x Power-In 
135W AC Adapter Included",Lenovo,,System Accessories,238
Lenovo ThinkPad OneLink+ Dock for ThinkPad X1 Carbon 4th Gen Only,40A40090EU,"For ThinkPad X1 Carbon 4th Gen
3x USB 3.0 (One Always On), 2x USB 2.0, 1x USB-C,
1x Gigabit Ethernet, 2x DisplayPort, 1x VGA,
1x Headset/Mic Combo, 1x Power",Lenovo,,System Accessories,170
Lenovo ThinkPad USB 3.0 Pro Dock for Any ThinkPad Notebook,40A70045EU,"For ThinkPad X1 Carbon 2nd Gen, 3rd Gen or Other Laptop with USB 3.0
1x SuperSpeed USB 3.0 - 4 pin USB Type B
3x SuperSpeed USB 3.0 - 9 pin USB Type A
2x USB 2.0 - 4 pin USB Type A
1x Audio / Video - DisplayPort - 20 pin DisplayPort
1x DVI-Analog/Digital - 29 pin combined DVI
1x Network - RJ-45
1x Audio - Headphones/Microphone - Mini-Phone Stereo 3.5 mm
Cables Included: DVI-I to VGA Adapter and USB Cable",Lenovo,,System Accessories,159
Lenovo ThinkPad Basic USB 3.0 Dock for Any ThinkPad Notebook,40AA0045EU,"For Any Notebook with USB Connectivity 
2x USB 3.0, 2x USB 2.0, 1x DVI, 1x RJ45 
Cable Included: DVI to VGA Adapter",Lenovo,,System Accessories,102
Lenovo 65W AC Charger for ThinkPad X1 Carbon 5th Gen,4X20M26272,,Lenovo,,System Accessories,30
Lenovo 135W AC Charger for ThinkPad T460s/T470s,4X20E50562,,Lenovo,,System Accessories,49
"HP UltraSlim Docking Station for EliteBook 820 and 840, G3 and G4",D9Y32AA,"Compatible with HP EliteBook 820 and 840, G3 and G4
4x USB 3.0 Ports, 1x RJ-45 (Network) Jack,
2x DisplayPort 1.1a, 1x VGA Port,
1x Line-In/Line-Out Jack",HPI,,System Accessories,102
HP 65W Slim AC Adapter,H6Y82AA," Compatible with EliteBook 820 or 840, G3 or G4
",HPI,,System Accessories,43
HP DisplayPort to HDMI Adapter,F3W43AA,"DP to HDMI, 8"" Cable Length",HPI,,System Accessories,11
HP Essential Laptop Backpack,H1D24AA,"Durable Design, Compatible with Notebooks up to 15.6"" 
Padded Adjustable Shoulder Straps, Accessories Pocket",HPI,,System Accessories,22
Viewsonic VX2452mh Monitor,VX2452MH,"24"" LED LCD, FHD 1920x1080  
2x Speakers, Tilt Stand, VESA-Compatible Wallmount 
DVI, HDMI, VGA Interfaces",Other,,System Accessories,142
BenQ GL2460Hm LED LCD Monitor,GL2460HM,"24"" Widescreen, 1920X1080 FHD, 2x Speakers 
ZeroFlicker Technology, Low Blue Light 
DVI, HDMI, VGA Interfaces",Other,,System Accessories,146
BenQ BL2420PT LED LCD Monitor,BL2420PT,"24"" Widescreen, 2560x1440 WQHD 
100% sRGB and REC 709 Color Space with IPS Technology 
CAD/CAM Mode and Animation Mode 
Display Pilot Software 
Flicker-Free and Low Blue Light Mode 
Speaker, USB Hub 
DVI, HDMI, DisplayPort, VGA Interfaces",Other,,System Accessories,237
Iiyama ProLite E2483HS Monitor,E2483HS-B1,"24"" FHD LED Monitor 
1920x1080p Resolution 
Blue Light Reducer, Flicker Free LED 
2x Speakers 
VGA, DVI, HDMI Interfaces 
",Other,,System Accessories,207
Microsoft Wired Keyboard 600 and Mouse,3J2-00001,"English, Black, USB
Other Languages Available",Microsoft,,System Accessories,25
Microsoft Wireless Desktop 2000 Keyboard and Mouse,M7J-00001,"English, Black, USB
Other Languages Available",Microsoft,,System Accessories,41
Microsoft Wireless Keyboard 850,PZ3-00001,"English, Other Languages Available",Microsoft,,System Accessories,21
Microsoft Wired 600 Keyboard,ANB-00001,"English, Other Languages Available",Microsoft,,System Accessories,14
Microsoft Wired Mouse 500,4HH-00001,,Microsoft,,System Accessories,10
Microsoft Wireless Mouse 900,PW4-00001,,Microsoft,,System Accessories,25
Microsoft Wireless Mobile Mouse 1850,7MM-00001,,Microsoft,,System Accessories,12
Western Digital 2TB External Hard Drive,WDBYFT0020BBK-WESN,"WD My Passport
USB 3.0, Portable, Black, 256-Bit Encryption Standard",Other,,System Accessories,109
Logitech Laser Presentation Pointer,910-001354,"R400, USB  Interface
Includes Wireless Mini-Receiver, 2x AAA Batteries
Carrying Case",Other,,System Accessories,39
Logitech H600 Wireless Headset,981-000341,,Other,,System Accessories,60
Logitech H390 USB Wired Headset with Microphone,981-000014,"USB Padded Stereo Headset 
Wired, 8 Feet Cable, Noise Cancelling Microphone ",Other,,System Accessories,30
Jabra SPEAK 410 Microphone,7410-209,,Other,,System Accessories,93
DisplayPort to DVI Male-Male 6-Foot Adapter,GENDPDVI6,,Other,,System Accessories,14
Kingston DataTraveler G4 32GB USB 3.0 Flash Drive,DTIG4/32GB,DTIG4/32GB,Other,,System Accessories,17
Kingston 64GB USB 3.0 DataTraveler,DT100G3/64GB,DT100G3/64GB,Other,,System Accessories,28
Cat 6 5-Foot Patch Cable,GENCABCAT65FT,,Other,,System Accessories,2
Cat 6 10-Foot Patch Cable,GENCABCAT610FT,,Other,,System Accessories,3
Cat 6 15-Foot Patch Cable,GENCABCAT615FT,,Other,,System Accessories,4
VGA Cable 25-Foot with 3.5mm Stereo Audio,P504-025,,Other,,System Accessories,25
HDMI Male to VGA Female Adapter,GENCABHDMIMVGAF,,Other,,System Accessories,15
HDMI UltraHD 4K M-M 10-Foot Cable,GENCABHDMI10FT,,Other,,System Accessories,8
Mini DisplayPort Male to VGA Male Adapter,GENCABMDPMVGAM,,Other,,System Accessories,15
Mini DisplayPort Male to HDMI Male 15-Foot Video Adapter,GENCABMDPMHDMIM15FT,,Other,,System Accessories,17
Rankie HDMI to DisplayPort 15-Foot Cable,R1102D,,Other,,System Accessories,17
DisplayPort Male to HDMI Female Cable Adapter,GENCABDPMHDMIF,,Other,,System Accessories,8
Microsoft Windows Server Standard 2016,MICSOFWINSERVERSTD20,2-Core License,Microsoft,,Software,27
Microsoft Windows Server Standard 2016 CAL,MICSOFWINSERVERSTD20,MICSOFWINSERVERSTD2016CAL,Microsoft,,Software,8
Tableau Desktop Pro License,TAB-PROF-SUB,12-Month Subscription,Other,,Software,340
SyncBack SE V8,BRISOFSYNCBACK,BRISOFSYNCBACK,Other,,Software,24
Microsoft Windows 10 Pro 64-Bit Upgrade,MICSOFWIN10PROUPG,MICSOFWIN10PROUPG,Microsoft,,Software,64
Microsoft Windows Server Standard 2016,MICSOFWINSERVERSTD20,2-Core License,Microsoft,,Software,27
Microsoft Windows Server Standard 2016 CAL,MICSOFWINSERVERSTD20,MICSOFWINSERVERSTD2016CAL,Microsoft,,Software,8
Tableau Desktop Pro License,TAB-PROF-SUB,12-Month Subscription,Other,,Software,340
SyncBack SE V8,BRISOFSYNCBACK,BRISOFSYNCBACK,Other,,Software,24
Cisco SMARTnet 3YR NBD8x5 for CAT 2960X-48FPS-L,CON-3SNT-WSC294SL,CON-3SNT-WSC294SL,Other,,Networking and Communications,1024
Apple iPhone 8 64GB Unlocked Smartphone,MQ6K2LL/A  ,"Unlocked 
LTE/Bluetooth/WiFi 
Operating System: Apple iOS 11 
Memory: 64GB 
Screen: 4.7"" Retina Display 
TouchScreen 
Built-In GPS 
Color: Space Gray",Apple,,"Smartphones, Tablets and Accessories",777
